Item,Price
McCafe Mocha,McCafe Mocha
McCafe Mocha,McCafe Mocha
Minute Maid Apple Juice Box,Minute Maid Apple Juice Box
Minute Maid Apple Juice Box,Minute Maid Apple Juice Box
Minute Maid Apple Juice Box,Minute Maid Apple Juice Box
Minute Maid Premium Orange Juice (OJ),Minute Maid Premium Orange Juice (OJ)
Minute Maid Premium Orange Juice (OJ),Minute Maid Premium Orange Juice (OJ)
Minute Maid Premium Orange Juice (OJ),Minute Maid Premium Orange Juice (OJ)
Premium Roast Coffee,Premium Roast Coffee
Premium Roast Coffee,Premium Roast Coffee
Premium Roast Coffee,Premium Roast Coffee
Premium Roast Iced Coffee,Premium Roast Iced Coffee
Premium Roast Iced Coffee,Premium Roast Iced Coffee
Premium Roast Iced Coffee,Premium Roast Iced Coffee
Soft Drinks,Soft Drinks
Soft Drinks,Soft Drinks
Soft Drinks,Soft Drinks
1 Soft Baked Cookie,1 Soft Baked Cookie
3 Soft Baked Chocolate Chip Cookies,3 Soft Baked Chocolate Chip Cookies
3 Soft Baked Oatmeal Raisin Cookies,3 Soft Baked Oatmeal Raisin Cookies
Baked Apple Pie,Baked Apple Pie
Dipped Cone,Dipped Cone
Hot Caramel Sundae,Hot Caramel Sundae
Hot Fudge Sundae,Hot Fudge Sundae
McFlurry with M&Ms (Regular),McFlurry with M&Ms (Regular)
McFlurry with M&Ms (Snack Size),McFlurry with M&Ms (Snack Size)
McFlurry with OREO Cookies (Regular),McFlurry with OREO Cookies (Regular)
McFlurry with OREO Cookies (Snack Size),McFlurry with OREO Cookies (Snack Size)
Strawberry Sundae,Strawberry Sundae
3 Cookies,3 Cookies
Apple Slices,Apple Slices
Bacon Buffalo Ranch McChicken,Bacon Buffalo Ranch McChicken
Bacon Cheddar McChicken,Bacon Cheddar McChicken
Buffalo Ranch McChicken,Buffalo Ranch McChicken
Dasani Bottled Water,Dasani Bottled Water
Grilled Onion Cheddar,Grilled Onion Cheddar
Hot 'n Spicy McChicken,Hot 'n Spicy McChicken
Jalapeno Double,Jalapeno Double
Side Salad,Side Salad
Sweet Tea,Sweet Tea
Vanilla Cone,Vanilla Cone
2 Cheeseburgers,2 Cheeseburgers
2 Cheeseburgers,2 Cheeseburgers
Artisan Grilled Chicken,Artisan Grilled Chicken
Artisan Grilled Chicken,Artisan Grilled Chicken
Chicken Ranch BLT,Chicken Ranch BLT
Chicken Ranch BLT,Chicken Ranch BLT
Classic Chicken,Classic Chicken
Classic Chicken,Classic Chicken
Club Chicken,Club Chicken
Club Chicken,Club Chicken
Quarter Pounder Deluxe,Quarter Pounder Deluxe
Quarter Pounder Deluxe,Quarter Pounder Deluxe
Southern Style Chicken,Southern Style Chicken
Southern Style Chicken,Southern Style Chicken
3 McDonald's Mighty Wings (10 pack),3 McDonald's Mighty Wings (10 pack)
